StudentID,Grade,Subject,Marks
1,1,Math,98
1,1,Science,88
1,1,English,74
1,1,History,67
1,2,Math,80
1,2,Science,98
1,2,English,78
1,2,History,82
1,3,Math,70
1,3,Science,70
1,3,English,83
1,3,History,95
1,4,Math,99
1,4,Science,83
1,4,English,62
1,4,History,81
1,5,Math,61
1,5,Science,83
1,5,English,89
1,5,History,97
2,1,Math,61
2,1,Science,80
2,1,English,92
2,1,History,71
2,2,Math,81
2,2,Science,84
2,2,English,86
2,2,History,87
2,3,Math,75
2,3,Science,74
2,3,English,62
2,3,History,96
2,4,Math,66
2,4,Science,80
2,4,English,68
2,4,History,98
2,5,Math,77
2,5,Science,63
2,5,English,84
2,5,History,73
3,1,Math,68
3,1,Science,85
3,1,English,61
3,1,History,79
3,2,Math,87
3,2,Science,66
3,2,English,67
3,2,History,94
3,3,Math,73
3,3,Science,76
3,3,English,95
3,3,History,99
3,4,Math,63
3,4,Science,61
3,4,English,65
3,4,History,63
3,5,Math,88
3,5,Science,77
3,5,English,85
3,5,History,93
4,1,Math,69
4,1,Science,95
4,1,English,73
4,1,History,90
4,2,Math,74
4,2,Science,67
4,2,English,73
4,2,History,82
4,3,Math,99
4,3,Science,80
4,3,English,75
4,3,History,77
4,4,Math,83
4,4,Science,85
4,4,English,84
4,4,History,100
4,5,Math,88
4,5,Science,74
4,5,English,60
4,5,History,84
5,1,Math,66
5,1,Science,68
5,1,English,83
5,1,History,60
5,2,Math,67
5,2,Science,83
5,2,English,70
5,2,History,76
5,3,Math,67
5,3,Science,94
5,3,English,94
5,3,History,92
5,4,Math,64
5,4,Science,98
5,4,English,100
5,4,History,87
5,5,Math,66
5,5,Science,68
5,5,English,67
5,5,History,71
6,1,Math,93
6,1,Science,92
6,1,English,82
6,1,History,83
6,2,Math,96
6,2,Science,94
6,2,English,99
6,2,History,81
6,3,Math,86
6,3,Science,94
6,3,English,60
6,3,History,94
6,4,Math,96
6,4,Science,73
6,4,English,62
6,4,History,60
6,5,Math,64
6,5,Science,85
6,5,English,73
6,5,History,98
7,1,Math,86
7,1,Science,68
7,1,English,74
7,1,History,74
7,2,Math,85
7,2,Science,72
7,2,English,91
7,2,History,98
7,3,Math,91
7,3,Science,63
7,3,English,89
7,3,History,96
7,4,Math,82
7,4,Science,98
7,4,English,74
7,4,History,88
7,5,Math,95
7,5,Science,72
7,5,English,91
7,5,History,66
8,1,Math,81
8,1,Science,87
8,1,English,61
8,1,History,65
8,2,Math,87
8,2,Science,87
8,2,English,79
8,2,History,89
8,3,Math,70
8,3,Science,87
8,3,English,84
8,3,History,98
8,4,Math,92
8,4,Science,60
8,4,English,86
8,4,History,72
8,5,Math,100
8,5,Science,62
8,5,English,98
8,5,History,65
9,1,Math,67
9,1,Science,86
9,1,English,68
9,1,History,96
9,2,Math,92
9,2,Science,83
9,2,English,74
9,2,History,91
9,3,Math,91
9,3,Science,83
9,3,English,100
9,3,History,71
9,4,Math,98
9,4,Science,61
9,4,English,62
9,4,History,96
9,5,Math,76
9,5,Science,61
9,5,English,61
9,5,History,87
10,1,Math,82
10,1,Science,96
10,1,English,91
10,1,History,92
10,2,Math,60
10,2,Science,78
10,2,English,61
10,2,History,85
10,3,Math,91
10,3,Science,65
10,3,English,91
10,3,History,63
10,4,Math,70
10,4,Science,76
10,4,English,97
10,4,History,83
10,5,Math,64
10,5,Science,93
10,5,English,65
10,5,History,81
11,1,Math,70
11,1,Science,75
11,1,English,92
11,1,History,68
11,2,Math,65
11,2,Science,75
11,2,English,88
11,2,History,62
11,3,Math,79
11,3,Science,95
11,3,English,78
11,3,History,85
11,4,Math,62
11,4,Science,78
11,4,English,79
11,4,History,91
11,5,Math,66
11,5,Science,100
11,5,English,92
11,5,History,99
12,1,Math,98
12,1,Science,77
12,1,English,99
12,1,History,60
12,2,Math,70
12,2,Science,87
12,2,English,84
12,2,History,82
12,3,Math,90
12,3,Science,89
12,3,English,94
12,3,History,66
12,4,Math,75
12,4,Science,85
12,4,English,61
12,4,History,60
12,5,Math,71
12,5,Science,64
12,5,English,96
12,5,History,91
13,1,Math,68
13,1,Science,100
13,1,English,94
13,1,History,78
13,2,Math,75
13,2,Science,62
13,2,English,79
13,2,History,83
13,3,Math,92
13,3,Science,83
13,3,English,70
13,3,History,67
13,4,Math,95
13,4,Science,97
13,4,English,99
13,4,History,79
13,5,Math,94
13,5,Science,84
13,5,English,94
13,5,History,84
14,1,Math,88
14,1,Science,77
14,1,English,77
14,1,History,61
14,2,Math,94
14,2,Science,75
14,2,English,100
14,2,History,95
14,3,Math,92
14,3,Science,63
14,3,English,92
14,3,History,73
14,4,Math,80
14,4,Science,79
14,4,English,67
14,4,History,66
14,5,Math,62
14,5,Science,76
14,5,English,92
14,5,History,71
15,1,Math,81
15,1,Science,81
15,1,English,89
15,1,History,97
15,2,Math,97
15,2,Science,67
15,2,English,86
15,2,History,86
15,3,Math,93
15,3,Science,80
15,3,English,89
15,3,History,92
15,4,Math,87
15,4,Science,92
15,4,English,64
15,4,History,78
15,5,Math,63
15,5,Science,94
15,5,English,76
15,5,History,87
16,1,Math,89
16,1,Science,88
16,1,English,65
16,1,History,94
16,2,Math,100
16,2,Science,96
16,2,English,83
16,2,History,88
16,3,Math,90
16,3,Science,94
16,3,English,92
16,3,History,80
16,4,Math,91
16,4,Science,82
16,4,English,92
16,4,History,62
16,5,Math,77
16,5,Science,84
16,5,English,90
16,5,History,62
17,1,Math,99
17,1,Science,83
17,1,English,91
17,1,History,81
17,2,Math,82
17,2,Science,61
17,2,English,86
17,2,History,61
17,3,Math,85
17,3,Science,76
17,3,English,99
17,3,History,92
17,4,Math,68
17,4,Science,98
17,4,English,88
17,4,History,85
17,5,Math,94
17,5,Science,84
17,5,English,83
17,5,History,72
18,1,Math,66
18,1,Science,95
18,1,English,79
18,1,History,60
18,2,Math,67
18,2,Science,75
18,2,English,73
18,2,History,71
18,3,Math,82
18,3,Science,74
18,3,English,87
18,3,History,93
18,4,Math,61
18,4,Science,91
18,4,English,82
18,4,History,81
18,5,Math,84
18,5,Science,81
18,5,English,81
18,5,History,65
19,1,Math,74
19,1,Science,96
19,1,English,92
19,1,History,67
19,2,Math,64
19,2,Science,98
19,2,English,63
19,2,History,65
19,3,Math,91
19,3,Science,89
19,3,English,94
19,3,History,99
19,4,Math,75
19,4,Science,72
19,4,English,89
19,4,History,78
19,5,Math,76
19,5,Science,78
19,5,English,87
19,5,History,85
20,1,Math,96
20,1,Science,85
20,1,English,82
20,1,History,68
20,2,Math,71
20,2,Science,60
20,2,English,60
20,2,History,93
20,3,Math,91
20,3,Science,84
20,3,English,99
20,3,History,60
20,4,Math,75
20,4,Science,98
20,4,English,64
20,4,History,81
20,5,Math,88
20,5,Science,62
20,5,English,71
20,5,History,85
21,1,Math,75
21,1,Science,96
21,1,English,81
21,1,History,88
21,2,Math,73
21,2,Science,87
21,2,English,64
21,2,History,89
21,3,Math,64
21,3,Science,71
21,3,English,75
21,3,History,85
21,4,Math,85
21,4,Science,80
21,4,English,98
21,4,History,95
21,5,Math,92
21,5,Science,89
21,5,English,96
21,5,History,82
